Temp (Ohm) (X58257),Temp (Ohm) (X53853),Temp (Ohm) (X53851),Temp (Ohm) (X53871)
2129.21,346.714,369.111,392.433
2129.21,346.714,369.174,392.481
2129.45,346.744,369.153,392.481
2129.45,346.777,369.188,392.533
2129.78,346.777,369.19,392.345
2130.94,346.866,369.19,392.559
2130.94,346.866,369.196,392.566
2131.77,346.895,369.223,392.566
2131.77,346.898,369.223,392.549
2131.93,346.898,369.293,392.586
2132.06,346.891,369.293,392.586
2132.06,346.902,369.314,392.614
2132.06,346.913,369.352,392.614
2130.14,346.926,369.352,392.695
2131.7,346.926,369.399,392.753
2132.13,346.996,369.399,392.753
2132.13,347.019,369.412,392.789
2132.97,347.019,369.415,392.789
2133.85,347.085,369.415,392.816
2133.85,347.085,369.427,392.835
2134.36,347.103,369.462,392.835
2134.36,347.13,369.468,392.834
2135.12,347.13,369.486,392.765
2135.31,347.155,369.486,392.847
2135.31,347.155,369.554,392.873
2135.48,347.132,369.59,392.873
2135.48,347.157,369.59,392.915
2135.42,347.157,369.641,392.959
2135.82,347.17,369.641,392.959
2135.82,347.184,369.674,393.025
2135.61,347.216,369.702,393.025
2133.66,347.254,369.702,393.079
2136.45,347.254,369.694,393.127
2137.0,347.321,369.694,393.127
2137.0,347.341,369.707,393.12
2137.57,347.341,369.725,393.12
2138.5,347.37,369.725,393.113
2138.5,347.37,369.767,393.139
2138.63,347.381,369.733,393.139
2138.63,347.368,369.87,393.2
2138.22,347.368,369.888,392.766
2138.16,347.415,369.888,393.305
2138.16,347.415,369.917,393.323
2138.52,347.437,369.946,393.323
2138.52,347.481,369.946,393.363
2139.02,347.481,369.952,393.382
2140.01,347.557,369.952,393.382
2140.01,347.375,369.957,393.395
2140.9,347.586,369.97,393.395
2140.9,347.599,369.97,393.393
2141.38,347.599,370.015,393.399
2141.5,347.577,370.015,393.399
2141.5,347.6,370.114,393.469
2141.04,347.6,370.134,393.469
2142.0,347.632,370.134,393.526
2141.29,347.632,370.13,393.579
2141.69,347.705,369.87,393.579
2141.69,347.748,370.141,393.589
2143.19,347.748,370.163,393.589
2143.58,347.761,370.163,393.599
2143.58,347.761,370.199,393.606
2143.98,347.787,370.234,393.606
2143.98,347.79,370.234,393.624
2143.9,347.79,370.303,393.649
2143.91,347.779,370.303,393.725
2143.91,347.229,370.351,393.744
2143.89,347.833,370.377,393.744
2143.89,347.869,370.377,393.797
2144.19,347.869,370.393,393.837
2144.81,347.912,370.393,393.837
2144.81,347.934,370.404,393.871
2145.62,347.934,370.419,393.871
2145.81,347.984,370.419,393.899
2146.26,347.984,370.44,393.905
2147.02,348.031,369.987,393.905
2147.02,348.02,370.483,393.902
2147.28,348.02,370.527,393.902
2147.66,348.029,370.527,393.936
2147.66,348.029,370.57,393.957
2147.39,348.039,370.633,393.957
2147.39,348.058,370.633,394.017
2147.45,348.058,370.663,393.987
2147.71,348.092,370.663,394.105
2147.71,347.487,370.681,394.143
2148.24,348.177,370.678,394.143
2148.24,348.197,370.678,394.184
2148.84,348.197,370.688,394.194
2149.78,348.242,370.688,394.194
2149.78,348.25,370.719,394.184
2150.58,348.267,370.735,394.184
2149.44,348.288,370.735,394.197
2150.99,348.288,370.775,394.225
2151.21,348.29,370.072,394.225
2151.21,348.311,370.847,394.262
2151.02,348.311,370.884,394.262
2151.13,348.318,370.884,394.328
2151.13,348.318,370.919,394.343
2151.46,348.342,370.957,394.343
2151.46,348.375,370.957,394.421
2151.58,348.375,370.989,394.344
2151.85,348.41,370.989,394.476
2151.85,347.768,371.019,394.517
2152.44,348.469,371.014,394.517
2152.44,348.516,371.014,394.533
2153.13,348.516,371.026,394.555
2153.63,348.538,371.026,394.555
2153.63,348.587,371.055,394.559
2154.42,348.587,371.075,394.559
2153.33,348.582,371.075,394.573
2155.09,348.582,371.143,394.589
2155.15,348.583,370.824,394.589
2155.15,348.579,371.219,394.632
2154.67,348.579,371.214,394.632
2154.89,348.601,371.214,394.68
2154.89,348.601,371.266,394.744
2155.08,348.689,371.287,394.744
2155.08,348.698,371.287,394.792
2155.7,348.698,371.29,394.714
2156.28,348.748,371.29,394.839
2156.28,348.056,371.296,394.828
2157.14,348.809,371.309,394.828
2157.14,348.824,371.309,394.845
2157.86,348.824,371.333,394.861
2158.54,348.841,371.333,394.861
2158.54,348.866,371.384,394.882
2158.88,348.866,371.431,394.882
2158.74,348.865,371.431,394.926
2158.93,348.865,371.503,394.951
2158.64,348.885,371.173,394.951
2158.64,348.896,371.553,395.036
2158.72,348.896,371.576,395.036
2159.0,348.94,371.576,395.101
2159.0,348.94,371.576,395.111
2159.3,348.975,371.6,395.111
2159.3,349.019,371.6,395.152
2160.56,349.019,371.591,395.152
2161.13,349.059,371.591,395.154
2161.13,349.059,371.634,395.165
2161.76,349.091,371.663,395.165
2161.76,349.1,371.663,395.168
2161.88,349.1,371.732,395.211
2162.15,349.09,371.732,395.211
2162.15,349.121,371.784,395.272
2162.2,349.114,371.792,395.272
2161.42,349.133,371.792,395.319
2162.02,349.133,371.837,395.365
2162.46,349.168,371.369,395.365
2162.46,349.239,371.845,395.418
2163.18,349.239,371.863,395.418
2163.56,349.299,371.863,395.45
2163.56,349.299,371.884,395.474
2164.56,349.339,371.931,395.474
2164.56,349.37,371.931,395.488
2165.21,349.37,371.942,395.508
2165.51,349.357,371.942,395.486
2165.51,349.357,372.004,395.508
2165.6,349.365,372.048,395.508
2165.6,349.371,372.048,395.572
2165.33,349.371,372.094,395.627
2165.74,349.377,372.094,395.627
2165.74,349.417,372.119,395.645
2165.89,349.428,372.137,395.645
2165.96,349.452,372.137,395.714
2166.49,349.452,372.155,395.758
2166.98,349.532,371.604,395.758
2166.98,349.564,372.167,395.742
2168.25,349.564,372.185,395.742
2168.62,349.572,372.185,395.769
2168.62,349.572,372.232,395.761
2168.82,349.589,372.235,395.761
2168.82,349.589,372.277,395.807
2168.58,349.589,372.332,395.794
2168.55,349.609,372.332,395.908
2168.55,349.609,372.372,395.947
2168.92,349.697,372.385,395.947
2168.92,349.704,372.385,395.999
2169.48,349.704,372.388,396.028
2170.03,349.768,372.388,396.028
2170.03,349.723,372.413,396.034
2171.03,349.805,372.418,396.034
2169.48,349.831,372.418,396.022
2171.82,349.831,372.473,396.038
2172.25,349.831,372.473,396.038
2172.25,349.825,372.53,396.064
2171.93,349.825,372.566,396.064
2171.81,349.835,372.566,396.148
2171.81,349.835,372.611,396.194
2171.78,349.897,372.531,396.194
2171.78,349.929,372.614,396.257
2172.44,349.929,372.626,395.991
2173.55,349.99,372.626,396.252
2173.55,349.99,372.652,396.275
2174.09,350.014,372.656,396.275
2174.09,350.031,372.656,396.265
2174.82,350.031,372.709,396.307
2175.15,350.031,372.709,396.307
2175.15,349.892,372.768,396.334
2175.1,350.053,372.796,396.334
2171.74,350.067,372.796,396.376
2174.73,350.067,372.857,396.424
2175.03,350.089,372.857,396.424
2175.03,350.115,372.884,396.485
2175.47,350.115,372.895,396.485
2175.87,350.186,372.895,396.553
2175.87,350.186,372.899,396.562
2176.73,350.248,372.863,396.562
2176.73,350.276,372.93,396.548
2177.83,350.276,372.967,396.034
2177.95,350.249,372.967,396.58
2177.95,350.249,373.038,396.602
2177.92,350.265,373.063,396.602
2177.92,350.282,373.063,396.64
2178.1,350.282,373.1,396.689
2178.07,350.317,373.1,396.689
2178.07,350.132,373.118,396.75
2178.49,350.366,373.149,396.75
2175.64,350.383,373.149,396.809
2179.14,350.383,373.155,396.829
2179.48,350.452,373.155,396.829
2179.48,350.48,373.18,396.86
2180.29,350.48,373.2,396.86
2179.98,350.499,373.2,396.895
2180.97,350.499,373.228,396.872
2181.56,350.535,373.225,396.872
2181.56,350.529,373.289,396.895
2182.08,350.529,373.305,396.483
2181.9,350.548,373.305,396.948
2181.9,350.548,373.39,396.999
2181.59,350.561,373.419,396.999
2181.59,350.615,373.419,397.071
2181.64,350.615,373.425,397.091
2182.6,350.665,373.425,397.113
2182.6,350.277,373.43,397.073
2183.96,350.703,373.466,397.073
2183.96,350.693,373.466,397.107
2183.82,350.693,373.52,397.137
